Charge Time,Cleaning Time Infinity,Cleaning Time for 1-Iteration,Total Cleaning Time (TCT)
90,60,45,150
90,60,60,60
90,60,75,60
90,60,90,60
90,60,105,60
90,60,120,60
90,60,135,60
90,60,150,60
90,75,30,255
90,75,45,165
90,75,60,165
90,75,75,75
90,75,90,75
90,75,105,75
90,75,120,75
90,75,135,75
90,75,150,75
90,90,30,270
90,90,45,180
90,90,60,180
90,90,75,180
90,90,90,90
90,90,105,90
90,90,120,90
90,90,135,90
90,90,150,90
90,105,30,375
90,105,45,285
90,105,60,195
90,105,75,195
90,105,90,195
90,105,105,105
90,105,120,105
90,105,135,105
90,105,150,105
90,120,30,390
90,120,45,300
90,120,60,210
90,120,75,210
90,120,90,210
90,120,105,210
90,120,120,120
90,120,135,120
90,120,150,120
90,135,30,495
90,135,45,315
90,135,60,315
90,135,75,225
90,135,90,225
90,135,105,225
90,135,120,225
90,135,135,135
90,135,150,135
90,150,30,510
90,150,45,420
90,150,60,330
90,150,75,240
90,150,90,240
90,150,105,240
90,150,120,240
90,150,135,240
90,150,150,150
105,30,30,30
105,30,45,30
105,30,60,30
105,30,75,30
105,30,90,30
105,30,105,30
105,30,120,30
105,30,135,30
105,30,150,30
105,45,30,150
105,45,45,45
105,45,60,45
105,45,75,45
105,45,90,45
105,45,105,45
105,45,120,45
105,45,135,45
105,45,150,45
105,60,30,165
105,60,45,165
105,60,60,60
105,60,75,60
105,60,90,60
105,60,105,60
105,60,120,60
105,60,135,60
105,60,150,60
105,75,30,285
105,75,45,180
105,75,60,180
105,75,75,75
105,75,90,75
105,75,105,75
105,75,120,75
105,75,135,75
105,75,150,75
105,90,30,300
105,90,45,195
105,90,60,195
105,90,75,195
105,90,90,90
105,90,105,90
105,90,120,90
105,90,135,90
105,90,150,90
105,105,30,420
105,105,45,315
105,105,60,210
105,105,75,210
105,105,90,210
105,105,105,105
105,105,120,105
105,105,135,105
105,105,150,105
105,120,30,435
105,120,45,330
105,120,60,225
105,120,75,225
105,120,90,225
105,120,105,225
105,120,120,120
105,120,135,120
105,120,150,120
105,135,30,555
105,135,45,345
105,135,60,345
105,135,75,240
105,135,90,240
105,135,105,240
105,135,120,240
105,135,135,135
105,135,150,135
105,150,30,570
105,150,45,465
105,150,60,360
105,150,75,255
105,150,90,255
105,150,105,255
105,150,120,255
105,150,135,255
105,150,150,150
120,30,30,30
120,30,45,30
120,30,60,30
120,30,75,30
120,30,90,30
120,30,105,30
120,30,120,30
120,30,135,30
120,30,150,30
120,45,30,165
120,45,45,45
120,45,60,45
120,45,75,45
120,45,90,45
120,45,105,45
120,45,120,45
120,45,135,45
120,45,150,45
120,60,30,180
120,60,45,180
120,60,60,60
120,60,75,60
120,60,90,60
120,60,105,60
120,60,120,60
120,60,135,60
120,60,150,60
120,75,30,315
120,75,45,195
120,75,60,195
120,75,75,75
120,75,90,75
120,75,105,75
120,75,120,75
120,75,135,75
120,75,150,75
120,90,30,330
120,90,45,210
120,90,60,210
120,90,75,210
120,90,90,90
120,90,105,90
120,90,120,90
120,90,135,90
120,90,150,90
120,105,30,465
120,105,45,345
120,105,60,225
120,105,75,225
120,105,90,225
120,105,105,105
120,105,120,105
120,105,135,105
120,105,150,105
120,120,30,480
120,120,45,360
120,120,60,240
120,120,75,240
120,120,90,240
120,120,105,240
120,120,120,120
120,120,135,120
120,120,150,120
120,135,30,615
120,135,45,375
120,135,60,375
120,135,75,255
120,135,90,255
120,135,105,255
120,135,120,255
120,135,135,135
120,135,150,135
120,150,30,630
120,150,45,510
120,150,60,390
120,150,75,270
120,150,90,270
120,150,105,270
120,150,120,270
120,150,135,270
120,150,150,150
135,30,30,30
135,30,45,30
135,30,60,30
135,30,75,30
135,30,90,30
135,30,105,30
135,30,120,30
135,30,135,30
